"year_rect","species","n_recs","min_start","max_start","earliest_end","latest_end","mean_start","mean_end","median_start","median_end","range_start","range_end"
1856,"Acer rubrum",1,92,92,92,92,92,92,92,92,0,0
1880,"Rubus spectabilis",1,133,133,133,133,133,133,133,133,0,0
1882,"Rubus spectabilis",2,140,199,140,199,169.5,169.5,169.5,169.5,59,59
1883,"Acer rubrum",1,127,127,127,127,127,127,127,127,0,0
1886,"Juglans nigra",1,151,151,151,151,151,151,151,151,0,0
1887,"Acer rubrum",1,150,150,150,150,150,150,150,150,0,0
1890,"Acer rubrum",1,73,73,73,73,73,73,73,73,0,0
1892,"Acer rubrum",2,92,103,92,103,97.5,97.5,97.5,97.5,11,11
1893,"Acer rubrum",1,140,140,140,140,140,140,140,140,0,0
1893,"Rubus spectabilis",1,91,91,91,91,91,91,91,91,0,0
1895,"Acer rubrum",1,90,90,136,136,90,136,90,136,0,0
1895,"Rubus spectabilis",1,111,111,111,111,111,111,111,111,0,0
1896,"Acer rubrum",2,109,117,109,117,113,113,113,113,8,8
1896,"Rubus spectabilis",1,152,152,152,152,152,152,152,152,0,0
1897,"Acer rubrum",1,101,101,101,101,101,101,101,101,0,0
1898,"Rubus spectabilis",1,95,95,95,95,95,95,95,95,0,0
1899,"Rubus spectabilis",1,177,177,177,177,177,177,177,177,0,0
1900,"Acer rubrum",1,112,112,112,112,112,112,112,112,0,0
1901,"Acer platanoides",1,127,127,127,127,127,127,127,127,0,0
1901,"Acer rubrum",1,26,26,123,123,26,123,26,123,0,0
1901,"Ilex decidua",1,139,139,139,139,139,139,139,139,0,0
1901,"Rubus spectabilis",1,97,97,121,121,97,121,97,121,0,0
1902,"Acer platanoides",1,117,117,117,117,117,117,117,117,0,0
1902,"Acer rubrum",2,88,130,124,130,109,127,109,127,42,6
1902,"Rubus spectabilis",2,89,124,89,124,106.5,106.5,106.5,106.5,35,35
1903,"Acer rubrum",1,95,95,95,95,95,95,95,95,0,0
1903,"Rubus spectabilis",2,94,95,94,95,94.5,94.5,94.5,94.5,1,1
1904,"Acer rubrum",1,116,116,129,129,116,129,116,129,0,0
1905,"Acer platanoides",1,112,112,129,129,112,129,112,129,0,0
1905,"Acer rubrum",2,79,89,79,283,84,181,84,181,10,204
1905,"Juglans nigra",1,166,166,166,166,166,166,166,166,0,0
1905,"Rubus spectabilis",3,44,152,88,230,94.6666666666667,156.666666666667,88,152,108,142
1906,"Acer platanoides",1,132,132,132,132,132,132,132,132,0,0
1906,"Acer rubrum",1,97,97,147,147,97,147,97,147,0,0
1906,"Juglans nigra",1,143,143,143,143,143,143,143,143,0,0
1907,"Acer platanoides",1,278,278,278,278,278,278,278,278,0,0
1907,"Acer rubrum",4,80,116,99,121,96.5,110,95,110,36,22
1908,"Acer rubrum",1,103,103,103,103,103,103,103,103,0,0
1908,"Juglans nigra",1,142,142,142,142,142,142,142,142,0,0
1909,"Acer rubrum",1,101,101,129,129,101,129,101,129,0,0
1909,"Juglans nigra",1,141,141,141,141,141,141,141,141,0,0
1909,"Rubus laciniatus",2,183,265,183,265,224,224,224,224,82,82
1909,"Rubus spectabilis",1,141,141,141,141,141,141,141,141,0,0
1910,"Acer rubrum",2,84,85,84,85,84.5,84.5,84.5,84.5,1,1
1910,"Juglans nigra",2,135,136,135,159,135.5,147,135.5,147,1,24
1910,"Rubus spectabilis",1,113,113,113,113,113,113,113,113,0,0
1911,"Acer rubrum",2,97,140,97,140,118.5,118.5,118.5,118.5,43,43
1911,"Juglans nigra",1,144,144,170,170,144,170,144,170,0,0
1911,"Rubus laciniatus",2,201,214,201,214,207.5,207.5,207.5,207.5,13,13
1911,"Rubus spectabilis",3,176,196,176,196,188,188,192,192,20,20
1912,"Acer platanoides",1,64,64,64,64,64,64,64,64,0,0
1912,"Juglans nigra",1,136,136,136,136,136,136,136,136,0,0
1912,"Rubus laciniatus",1,275,275,275,275,275,275,275,275,0,0
1912,"Rubus spectabilis",2,125,125,125,151,125,138,125,138,0,26
1913,"Acer platanoides",1,123,123,123,123,123,123,123,123,0,0
1913,"Ilex decidua",1,112,112,112,112,112,112,112,112,0,0
1913,"Juglans nigra",1,111,111,142,142,111,142,111,142,0,0
1914,"Acer rubrum",1,138,138,138,138,138,138,138,138,0,0
1914,"Juglans nigra",2,142,143,142,143,142.5,142.5,142.5,142.5,1,1
1914,"Rubus laciniatus",1,192,192,192,192,192,192,192,192,0,0
1915,"Acer platanoides",1,147,147,147,147,147,147,147,147,0,0
1915,"Acer rubrum",1,108,108,116,116,108,116,108,116,0,0
1915,"Juglans nigra",1,26,26,137,137,26,137,26,137,0,0
1915,"Rubus laciniatus",2,219,241,219,241,230,230,230,230,22,22
1916,"Acer platanoides",1,298,298,298,298,298,298,298,298,0,0
1916,"Acer rubrum",2,127,128,128,135,127.5,131.5,127.5,131.5,1,7
1916,"Juglans nigra",1,149,149,149,149,149,149,149,149,0,0
1916,"Rubus laciniatus",1,278,278,278,278,278,278,278,278,0,0
1916,"Rubus spectabilis",2,99,99,99,235,99,167,99,167,0,136
1917,"Rubus spectabilis",1,158,158,158,158,158,158,158,158,0,0
1918,"Acer rubrum",1,84,84,84,84,84,84,84,84,0,0
1918,"Rubus laciniatus",1,191,191,191,191,191,191,191,191,0,0
1919,"Acer rubrum",1,89,89,116,116,89,116,89,116,0,0
1919,"Ilex decidua",1,139,139,139,139,139,139,139,139,0,0
1919,"Rubus laciniatus",1,167,167,167,167,167,167,167,167,0,0
1919,"Rubus spectabilis",1,96,96,196,196,96,196,96,196,0,0
1920,"Acer platanoides",1,27,27,27,27,27,27,27,27,0,0
1920,"Acer rubrum",2,101,160,117,160,130.5,138.5,130.5,138.5,59,43
1920,"Juglans nigra",1,151,151,151,151,151,151,151,151,0,0
1920,"Rubus spectabilis",1,60,60,60,60,60,60,60,60,0,0
1921,"Acer rubrum",2,58,109,109,110,83.5,109.5,83.5,109.5,51,1
1921,"Rubus spectabilis",1,92,92,92,92,92,92,92,92,0,0
1922,"Acer platanoides",1,106,106,179,179,106,179,106,179,0,0
1922,"Acer rubrum",2,120,121,120,121,120.5,120.5,120.5,120.5,1,1
1922,"Rubus spectabilis",2,88,180,88,180,134,134,134,134,92,92
1923,"Juglans nigra",1,144,144,162,162,144,162,144,162,0,0
1923,"Rubus laciniatus",1,191,191,191,191,191,191,191,191,0,0
1923,"Rubus spectabilis",1,105,105,105,105,105,105,105,105,0,0
1924,"Acer rubrum",1,124,124,124,124,124,124,124,124,0,0
1924,"Juglans nigra",1,139,139,151,151,139,151,139,151,0,0
1924,"Rubus spectabilis",2,117,117,117,117,117,117,117,117,0,0
1925,"Acer platanoides",1,124,124,124,124,124,124,124,124,0,0
1925,"Acer rubrum",1,116,116,116,116,116,116,116,116,0,0
1925,"Rubus laciniatus",1,212,212,212,212,212,212,212,212,0,0
1925,"Rubus spectabilis",1,213,213,213,213,213,213,213,213,0,0
1926,"Acer platanoides",1,121,121,121,121,121,121,121,121,0,0
1926,"Acer rubrum",1,106,106,116,116,106,116,106,116,0,0
1926,"Ilex decidua",1,143,143,143,143,143,143,143,143,0,0
1926,"Juglans nigra",1,144,144,149,149,144,149,144,149,0,0
1926,"Rubus laciniatus",2,150,168,168,311,159,239.5,159,239.5,18,143
1926,"Rubus spectabilis",2,53,73,102,178,63,140,63,140,20,76
1927,"Acer rubrum",1,115,115,115,115,115,115,115,115,0,0
1927,"Juglans nigra",1,103,103,103,103,103,103,103,103,0,0
1927,"Rubus laciniatus",2,238,281,238,281,259.5,259.5,259.5,259.5,43,43
1927,"Rubus spectabilis",2,110,172,207,208,141,207.5,141,207.5,62,1
1928,"Acer rubrum",1,52,52,221,221,52,221,52,221,0,0
1928,"Ilex decidua",1,133,133,133,133,133,133,133,133,0,0
1928,"Juglans nigra",1,148,148,148,148,148,148,148,148,0,0
1928,"Rubus laciniatus",1,214,214,214,214,214,214,214,214,0,0
1928,"Rubus spectabilis",2,78,92,92,200,85,146,85,146,14,108
1929,"Acer platanoides",1,95,95,95,95,95,95,95,95,0,0
1929,"Acer rubrum",3,95,300,95,300,163.666666666667,163.666666666667,96,96,205,205
1929,"Ilex decidua",1,117,117,117,117,117,117,117,117,0,0
1929,"Juglans nigra",1,131,131,131,131,131,131,131,131,0,0
1929,"Rubus laciniatus",2,182,190,191,191,186,191,186,191,8,0
1929,"Rubus spectabilis",2,83,127,127,132,105,129.5,105,129.5,44,5
1930,"Acer platanoides",1,115,115,115,115,115,115,115,115,0,0
1930,"Rubus laciniatus",1,141,141,141,141,141,141,141,141,0,0
1930,"Rubus spectabilis",2,62,108,190,207,85,198.5,85,198.5,46,17
1931,"Acer platanoides",1,110,110,112,112,110,112,110,112,0,0
1931,"Acer rubrum",1,65,65,110,110,65,110,65,110,0,0
1931,"Ilex decidua",1,108,108,108,108,108,108,108,108,0,0
1931,"Juglans nigra",1,134,134,134,134,134,134,134,134,0,0
1931,"Rubus laciniatus",2,187,188,187,188,187.5,187.5,187.5,187.5,1,1
