"siteID","taxonID","year","individualID","nthTransition","windowStart","windowEnd","windowMid","duration","tag_yr"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.00082",1,113,118,115.5,5,"2014 _ NEON.PLA.D01.HARV.00082"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06005",1,115,127,121,12,"2014 _ NEON.PLA.D01.HARV.06005"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06011",2,113,127,120,14,"2014 _ NEON.PLA.D01.HARV.06011"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06013",2,113,132,122.5,19,"2014 _ NEON.PLA.D01.HARV.06013"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06015",1,113,132,122.5,19,"2014 _ NEON.PLA.D01.HARV.06015"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06024",1,115,120,117.5,5,"2014 _ NEON.PLA.D01.HARV.06024"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06027",2,115,125,120,10,"2014 _ NEON.PLA.D01.HARV.06027"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06033",1,108,127,117.5,19,"2014 _ NEON.PLA.D01.HARV.06033"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06043",1,108,127,117.5,19,"2014 _ NEON.PLA.D01.HARV.06043"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06047",1,113,127,120,14,"2014 _ NEON.PLA.D01.HARV.06047"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06060",2,115,132,123.5,17,"2014 _ NEON.PLA.D01.HARV.06060"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06094",1,115,127,121,12,"2014 _ NEON.PLA.D01.HARV.06094"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06540",1,108,127,117.5,19,"2014 _ NEON.PLA.D01.HARV.06540"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06545",2,113,129,121,16,"2014 _ NEON.PLA.D01.HARV.06545"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06549",1,108,127,117.5,19,"2014 _ NEON.PLA.D01.HARV.06549"
"HARV","ACRU","2014","NEON.PLA.D01.HARV.06554",2,115,125,120,10,"2014 _ NEON.PLA.D01.HARV.06554"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.00082",1,114,121,117.5,7,"2015 _ NEON.PLA.D01.HARV.00082"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06005",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06005"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06007",1,112,119,115.5,7,"2015 _ NEON.PLA.D01.HARV.06007"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06011",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06011"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06013",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06013"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06024",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06024"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06027",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06027"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06033",1,112,121,116.5,9,"2015 _ NEON.PLA.D01.HARV.06033"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06043",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06043"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06047",1,114,124,119,10,"2015 _ NEON.PLA.D01.HARV.06047"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06054",1,114,121,117.5,7,"2015 _ NEON.PLA.D01.HARV.06054"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06060",1,114,121,117.5,7,"2015 _ NEON.PLA.D01.HARV.06060"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06094",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06094"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06539",1,114,124,119,10,"2015 _ NEON.PLA.D01.HARV.06539"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06540",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06540"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06541",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06541"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06548",1,114,124,119,10,"2015 _ NEON.PLA.D01.HARV.06548"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06549",1,112,124,118,12,"2015 _ NEON.PLA.D01.HARV.06549"
"HARV","ACRU","2015","NEON.PLA.D01.HARV.06554",1,112,126,119,14,"2015 _ NEON.PLA.D01.HARV.06554"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.00082",2,96,111,103.5,15,"2016 _ NEON.PLA.D01.HARV.00082"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06007",1,82,88,85,6,"2016 _ NEON.PLA.D01.HARV.06007"
